ticker,sector,model,intercept,coef_1,coef_2,coef_3,coef_4
AEN,GICS_35,CAPM,0.072454,2.126008,,,
WAC,GICS_35,CAPM,-0.012017,0.874648,,,
XRS,GICS_25,FF3,0.021068,0.524131,0.025608,-0.155786,
TSLA,GICS_25,FF3,0.031678,1.430771,0.7421,-0.896083,
ADUS,GICS_35,CAPM,0.023775,0.357364,,,
CBPO,GICS_35,CAPM,0.01189,1.018511,,,
IRWD,GICS_35,CAPM,-0.009802,1.361764,,,
AVEO,GICS_35,CAPM,-0.00792,1.164296,,,
FICO,GICS_45,Carhart,0.011481,1.1127,0.346147,-0.394249,0.086243
NXPI,GICS_45,Carhart,0.010239,1.581318,0.344719,0.431816,-0.1526
MCRO,GICS_45,Carhart,-0.002506,0.300618,-0.007879,-0.066595,-0.052192
FTNT,GICS_45,Carhart,0.005557,1.264983,0.564365,-1.279683,-0.048327
ZGNX,GICS_35,CAPM,0.003337,1.688513,,,
ACRX,GICS_35,CAPM,-0.00174,1.581148,,,
HZNP,GICS_35,CAPM,0.018026,1.415095,,,
DLPH,GICS_25,FF3,0.009961,1.333425,0.473018,-0.495484,
